School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2011-2012,BRONX,New York City Geographic District #10,BRONX DANCE ACADEMY SCHOOL,321000010308,Middle School,New York City,Public,266,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7
2011-2012,BRONX,New York City Geographic District #10,BRONX ENGINEERING AND TECHNOLOGY ACADEMY ,321000011213,Senior High,New York City,Public,439,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
2011-2012,BRONX,New York City Geographic District #10,BRONX HIGH SCHOOL OF SCIENCE,321000011445,Senior High,New York City,Public,3013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,1,5,0,34
2011-2012,BRONX,New York City Geographic District #10,BRONX HIGH SCHOOL-LAW AND COMMUNITY SERVICE,321000011439,Senior High,New York City,Public,432,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,7,0,1,0,0,0,1,0,0,0,0,0,0,1,2,2,1,6
2011-2012,BRONX,New York City Geographic District #10,BRONX SCHOOL OF LAW AND FINANCE,321000011284,Senior High,New York City,Public,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,4,0,2,1,7
2011-2012,BRONX,New York City Geographic District #10,BRONX THEATRE HIGH SCHOOL,321000011546,Senior High,New York City,Public,447,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,11,0,3,0,0,0,0,0,1,0,0,0,0,1,1,7,0,33
2011-2012,BRONX,New York City Geographic District #10,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC (THE),321000011442,Senior High,New York City,Public,422,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,3,3
2011-2012,BRONX,New York City Geographic District #10,CRESTON ACADEMY,321000010447,Middle School,New York City,Public,416,0,0,0,0,0,3,0,0,0,1,0,0,0,1,5,0,0,1,27,1,13,0,0,0,7,0,2,0,3,0,0,0,1,2,1,28
2011-2012,BRONX,New York City Geographic District #10,CROTONA INTERNATIONAL HIGH SCHOOL,321000011524,Senior High,New York City,Public,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2011-2012,BRONX,New York City Geographic District #10,DEWITT CLINTON HIGH SCHOOL,321000011440,Senior High,New York City,Public,4195,0,0,0,0,0,2,0,0,0,1,0,0,0,1,27,0,5,1,67,2,16,0,0,0,1,0,1,0,2,0,0,35,2,5,1,34
2011-2012,BRONX,New York City Geographic District #10,DISCOVERY HIGH SCHOOL,321000011549,Senior High,New York City,Public,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,EAST FORDHAM ACADEMY FOR THE ARTS,321000011459,Middle School,New York City,Public,331,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,1,28,0,22,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9
2011-2012,BRONX,New York City Geographic District #10,"ELEMENTARY SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",321000010382,Elementary,New York City,Public,390,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT,321000011397,Senior High,New York City,Public,311,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,FORDHAM HIGH SCHOOL FOR THE ARTS,321000011437,Senior High,New York City,Public,385,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,5,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5
2011-2012,BRONX,New York City Geographic District #10,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY,321000011438,Senior High,New York City,Public,449,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,7,1,5,0,0,0,1,0,0,0,0,0,0,3,0,2,0,7
2011-2012,BRONX,New York City Geographic District #10,GRACE H DODGE CAREER AND TECHNICAL HIGH SCHOOL,321000011660,Senior High,New York City,Public,1160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,43,0,9,0,0,0,5,0,1,0,3,0,0,4,3,0,1,44
2011-2012,BRONX,New York City Geographic District #10,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,321000011433,Senior High,New York City,Public,494,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,16,0,10,0,0,0,7,0,2,0,1,0,0,7,0,2,0,23
2011-2012,BRONX,New York City Geographic District #10,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,321000011696,Senior High,New York City,Public,377,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,IN-TECH ACADEMY (MS/HS 368),321000010368,Junior Senior School,New York City,Public,1124,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,1,26,0,15,0,0,0,3,0,3,0,1,0,0,0,3,1,0,10
2011-2012,BRONX,New York City Geographic District #10,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,321000011342,Junior Senior School,New York City,Public,606,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
2011-2012,BRONX,New York City Geographic District #10,IS 206 ANN MERSEREAU,321000010206,Middle School,New York City,Public,390,0,0,0,0,0,2,0,1,0,3,5,0,0,1,4,2,0,2,32,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,2,3
2011-2012,BRONX,New York City Geographic District #10,IS 254,321000010254,Middle School,New York City,Public,421,0,0,0,0,0,2,0,1,0,0,1,0,0,1,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2011-2012,BRONX,New York City Geographic District #10,JHS 118 WILLIAM W NILES,321000010118,Middle School,New York City,Public,1165,0,0,0,0,0,13,0,1,0,1,2,0,0,0,4,0,4,2,83,3,37,0,0,0,1,0,9,0,1,0,0,0,4,0,0,65
2011-2012,BRONX,New York City Geographic District #10,JHS 80 THE MOSHOLU PARKWAY ,321000010080,Middle School,New York City,Public,647,0,0,0,0,0,2,0,0,0,1,1,0,0,0,7,1,2,0,11,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,9
2011-2012,BRONX,New York City Geographic District #10,JOHN F KENNEDY HIGH SCHOOL,321000011475,Junior Senior School,New York City,Public,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,13,0,1,0,0,0,0,0,2,0,0,0,0,14,0,0,0,2
2011-2012,BRONX,New York City Geographic District #10,JONAS BRONCK ACADEMY,321000010228,Middle School,New York City,Public,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2011-2012,BRONX,New York City Geographic District #10,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,321000011268,Senior High,New York City,Public,497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2011-2012,BRONX,New York City Geographic District #10,KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIGH SCHOOL,321000011374,Senior High,New York City,Public,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,2,0,0,0,0,0,4,0,0,0,0,0,1,2,2,6
2011-2012,BRONX,New York City Geographic District #10,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,321000010307,Elementary,New York City,Public,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2011-2012,BRONX,New York City Geographic District #10,MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES,321000011477,Senior High,New York City,Public,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2011-2012,BRONX,New York City Geographic District #10,"MARIE CURIE HIGH SCH-NURSING, MEDICINE & APPLIED HLTH PROF",321000011237,Senior High,New York City,Public,540,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,8,0,7,0,0,0,1,0,1,0,0,0,0,0,0,4,1,17
2011-2012,BRONX,New York City Geographic District #10,MS 390,321000010390,Middle School,New York City,Public,430,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1
2011-2012,BRONX,New York City Geographic District #10,NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,321000010244,Middle School,New York City,Public,649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,9,0,3,0,0,0,0,0,2,0,0,0,0,0,5,3,0,0
2011-2012,BRONX,New York City Geographic District #10,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,321000011319,Senior High,New York City,Public,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,PS 15 INSTITUTE FOR ENVIRONMENTAL LEARNING,321000010015,Elementary,New York City,Public,550,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
2011-2012,BRONX,New York City Geographic District #10,PS 159 LUIS MUMOZ MARIN BILING,321000010159,Elementary,New York City,Public,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,PS 20 PO GEORGE J WERDAN III,321000010020,Elementary,New York City,Public,1084,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2011-2012,BRONX,New York City Geographic District #10,PS 205 FIORELLO LAGUARDIA,321000010205,Elementary,New York City,Public,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2011-2012,BRONX,New York City Geographic District #10,PS 207,321000010207,Elementary,New York City,Public,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,PS 209,321000010209,Elementary,New York City,Public,268,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2011-2012,BRONX,New York City Geographic District #10,PS 226,321000010226,Elementary,New York City,Public,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5
2011-2012,BRONX,New York City Geographic District #10,PS 23 THE NEW CHILDREN'S SCHOOL,321000010023,Elementary,New York City,Public,520,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
2011-2012,BRONX,New York City Geographic District #10,PS 24 SPUYTEN DUYVIL,321000010024,Elementary,New York City,Public,886,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
